FIPS,averageAreaInDrought,sumAreaInDrought,totalWeeks,weeksWithDrought,percentTimeInDrought
08001,0.3555502392344498,74.31,209,4,1.9138755980861244
08003,31.538851674641148,6591.62,209,68,32.535885167464116
08005,0.18483253588516746,38.63,209,4,1.9138755980861244
08007,33.34602870813397,6969.32,209,76,36.36363636363637
08009,15.480622009569379,3235.45,209,63,30.14354066985646
08011,14.779186602870814,3088.85,209,31,14.832535885167463
08013,0.808755980861244,169.03,209,23,11.004784688995215
08014,1.9138755980861244,400,209,4,1.9138755980861244
08015,21.68133971291866,4531.4,209,59,28.22966507177033
08017,3.958708133971292,827.37,209,31,14.832535885167463
08019,7.043444976076555,1472.08,209,32,15.311004784688995
08021,31.42138755980861,6567.07,209,70,33.49282296650718
08023,31.743253588516747,6634.34,209,69,33.014354066985646
08025,16.11665071770335,3368.38,209,51,24.401913875598087
08027,27.13827751196172,5671.9,209,70,33.49282296650718
08029,33.89492822966507,7084.04,209,71,33.97129186602871
08031,1.262153110047847,263.78999999999996,209,4,1.9138755980861244
08033,35.27909090909091,7373.33,209,74,35.406698564593306
08035,0.2454066985645933,51.29,209,4,1.9138755980861244
08037,18.45842105263158,3857.81,209,55,26.31578947368421
08039,7.014162679425837,1465.96,209,65,31.100478468899524
08041,8.002488038277512,1672.52,209,47,22.48803827751196
08043,17.711387559808614,3701.68,209,60,28.708133971291865
08045,28.119425837320573,5876.96,209,71,33.97129186602871
08047,0.42822966507177035,89.5,209,12,5.741626794258373
08049,8.872105263157895,1854.27,209,32,15.311004784688995
08051,27.817177033492822,5813.79,209,73,34.92822966507177
08053,32.84827751196172,6865.29,209,72,34.44976076555024
08055,26.46617224880383,5531.43,209,68,32.535885167464116
08057,2.966650717703349,620.03,209,27,12.918660287081341
08059,0.8485645933014354,177.35,209,4,1.9138755980861244
08061,12.767894736842106,2668.4900000000002,209,45,21.5311004784689
08063,0.08976076555023924,18.76,209,6,2.8708133971291865
08065,15.197751196172248,3176.33,209,40,19.138755980861244
08067,35.213157894736845,7359.55,209,77,36.84210526315789
08069,3.299712918660287,689.64,209,24,11.483253588516746
08071,20.171866028708134,4215.92,209,70,33.49282296650718
08073,12.950574162679425,2706.67,209,70,33.49282296650718
08075,0,0,209,NA,NA
08077,32.411483253588514,6774,209,72,34.44976076555024
08079,32.255837320574166,6741.47,209,69,33.014354066985646
08081,12.99287081339713,2715.51,209,43,20.574162679425836
08083,35.084593301435405,7332.68,209,76,36.36363636363637
08085,34.407655502392345,7191.2,209,74,35.406698564593306
08087,0,0,209,NA,NA
08089,15.960191387559808,3335.68,209,45,21.5311004784689
08091,34.5044976076555,7211.44,209,74,35.406698564593306
08093,9.500478468899521,1985.6000000000001,209,43,20.574162679425836
08095,0,0,209,NA,NA
08097,22.36866028708134,4675.05,209,73,34.92822966507177
08099,11.438133971291865,2390.57,209,41,19.617224880382775
08101,20.970956937799045,4382.93,209,54,25.837320574162682
08103,17.57334928229665,3672.83,209,68,32.535885167464116
08105,31.701483253588517,6625.61,209,72,34.44976076555024
08107,12.094928229665072,2527.84,209,45,21.5311004784689
08109,30.374688995215312,6348.31,209,75,35.88516746411483
08111,33.97129186602871,7100,209,71,33.97129186602871
08113,35.347416267942585,7387.61,209,74,35.406698564593306
08115,0,0,209,NA,NA
08117,14.84976076555024,3103.6,209,32,15.311004784688995
08119,1.195980861244019,249.95999999999998,209,6,2.8708133971291865
08121,0,0,209,NA,NA
08123,0.2748803827751196,57.45,209,13,6.220095693779904
08125,0,0,209,NA,NA
